col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108
120201899,"sign language","12/09/1997","facebook and whatsapp","margi","Christianity","Female","No","Single",,"Unemployed",,,,,"College of Education",,"No","Frequently","Always","Sometimes","Very Good","Sometimes","Yes",,"I don't have the time to shop for, and prepare healthy food",,,,,,"Never","Never","Good","Satisfied","Satisfied","Not at all","Satisfied","Not at all","Not at all","Sometimes","A great deal","Somewhat","Satisfied","Satisfied","Somewhat","Very","Not at all","Very","Satisfied","Satisfied","Fairly dissatisfied","Fairly dissatisfied","Fairly dissatisfied","interpreters","No","No","No","No","A few times","A few times","Never",4,,,"Yes","Very good",,,,,,"No","Not at all",,,"Somewhat",,,"No","No",,"Neutral","Frequently","Frequently","Frequently","Completely","Yes",,,,,,,,"Ulcers",,"net","Satisfied","Always","Yes","Not at all","Not at all","Yes","Not at all","sign language","Not at all","yes"
120201670,"sign language","05/17/1996",,,"Christianity","Male","No","Married",,"Student","self-reliant",5000,1,5,"Junior school",80000,"No","Sometimes","Sometimes","Sometimes","Fair","Sometimes","No","I don't have the transportation to go shopping for healthy food",,,,,,,"Sometimes","Sometimes","Neither poor nor good","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat","Neither satisfied nor dissatisfied","Not at all","Not at all","Sometimes",,"Not at all","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Not at all","Not at all","Not at all","Not at all","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",,"No","Yes","No","Yes","Once","Once","Once",5,"accident",8,"I already know sign language","Neither poor nor good","at school",,,"Other",,"No","Somewhat",,,"Not at all",,"discrimination","No","Yes",,"Satisfied","Sometimes","Sometimes","Sometimes","Not at all","No",,,,,,,,,"Other","yes","Neither satisfied nor dissatisfied","Sometimes","Yes","Somewhat","Somewhat","Yes","Not at all",,"All of the time","sign language"
120201499,"English language",,"telecommunication and message phone","am affliated to deaf and dumb",,"Male","No","Married","Yes","Unemployed","agricult/farmers",,1,4,"College of Education",,"Yes","Frequently","Frequently","Sometimes","Good",,"Yes",,,,,,,"[Other] i don't need it","Never","Frequently","Neither poor nor good","Fairly dissatisfied","Fairly dissatisfied","Not at all","Fairly dissatisfied",,"Not at all","Sometimes","An extreme amount","Slightly","Fairly dissatisfied","Neither satisfied nor dissatisfied","Slightly","Not at all","Somewhat","Not at all","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Fairly dissatisfied","Fairly dissatisfied","Neither satisfied nor dissatisfied","no","Yes","No","No","Yes","Never","Never","Once",0,"interpreter",24,"No","Very good","school",,,,,,"Not at all",,,"Not at all","central school","unemployment, poverty, lack access to education","No","Yes","i get free interpreting service","Satisfied","Frequently","Sometimes","Sometimes","Somewhat","No",,,,,,,,"Ulcers",,"i use bednet","Fairly dissatisfied","Never","Yes","To a great extent","To a great extent","Yes","Slightly","through my son","A fair amount of the time","sign language"
120201449,"sign language","01/01/1992","message text","Fulani","Islamic","Male","No","Single",,"Private sector employee","teacher",,,,"Polytechnic",0,"Yes","Frequently","Frequently","Frequently","Excellent","Sometimes","Yes",,"I don't have the time to shop for, and prepare healthy food",,,,,,"Sometimes","Sometimes","Very Good","Satisfied","Satisfied","Not at all","Satisfied","Not at all","Not at all","Sometimes","Not at all","Slightly","Satisfied","Satisfied","Not at all","Slightly","Slightly","Not at all","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","report to police or making call","No","No","No","No","Never","Never","Never",4,,6,"Yes","Very good","through teacher",,"Cochlear Implants",,,,"Not at all",,,"Not at all",,,"No","No",,"Satisfied","Sometimes","Sometimes","Sometimes","Not at all","Yes","Typhoid",,,,,,,,,,"Satisfied","Sometimes","Yes","Not at all","Not at all","Yes","Not at all",,"Not at all","yes"
120201256,"sign language","02/28/1998","whatsapp messaging","chamba","islam","Female","No","Single",,"Unemployed","student",30000,,,"College of Education",,"Yes","Frequently","Frequently","Sometimes","Excellent","Sometimes","Yes",,"I don't have the time to shop for, and prepare healthy food",,,,,,"Sometimes","Sometimes","Very Good","Satisfied","Satisfied","Not at all","Satisfied","Not at all","Not at all","Sometimes","Not at all","Slightly","Satisfied","Satisfied","Not at all","Not at all","Not at all","Not at all","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","report to police or making calls","No","No","No",,"Never","Never","Never",5,,5,"Yes","Very good","through teacher","Hearing Aids",,,18,"No","Not at all",,,"Not at all",,,"Yes","Yes",,"Satisfied","Sometimes","Sometimes","Sometimes","Not at all","Yes","Typhoid",,,,,,,,,,"Satisfied","Sometimes","Yes","Not at all","Not at all","Yes","Not at all",,"Not at all","yes"
120201072,"English","11/20/1984","whatsapp, facebook, message and telegram","Igbo","Christianity","Female","No","Married","Yes","Self-employed","trade bars",,,7,"Primary school (or can read and write)",,"Yes","Sometimes","Sometimes","Sometimes","Fair","Sometimes","Yes",,,,,"The others in my household do not eat healthy",,,"Sometimes","Sometimes","Good","Fairly dissatisfied","Fairly dissatisfied","Somewhat","Fairly dissatisfied","A small amount","A small amount","Sometimes","A small amount","To a great extent","Fairly dissatisfied","Fairly dissatisfied","Somewhat","Not at all","Somewhat","Moderately","Fairly dissatisfied","Fairly dissatisfied","Fairly dissatisfied","Fairly dissatisfied","Fairly dissatisfied","none","No","No","No","No","A few times","Never","Never",4,"interpreter",18,"I already know sign language","Very good","in school model",,,,,,"Not at all",,,"Slightly","never","empowerment problem, cost standard of living, and non-inclusion in government police","Yes","No","myself or the group of deaf people who attended progrma if it is not governmental supported","Unsatisfied","Infrequently","Infrequently","Infrequently","Not at all","No","Typhoid","Malaria",,,,"High Blood Pressure",,,,"sleeping under treated mosquito net","Fairly dissatisfied","Sometimes","No","Somewhat","Somewhat","Yes","Somewhat","social platforms, newspaper, internet","All of the time","speaking, writing, and gesture"
120200548,"english","09/30/1996","text","igbo","Christianity","Female","No","Single",,"Private sector employee",,,,6,"Junior school",0,"No","Never","Sometimes","Sometimes","Good","Infrequently","Yes",,,,,,,,"Never","Sometimes","Good","Satisfied","Satisfied","Somewhat","Satisfied","A small amount","A moderate amount","Sometimes","A small amount","To a great extent","Satisfied","Very dissatisfied","Slightly","Not at all","Not at all","Moderately","Satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",,"No","No","No","Yes","Never","Never","Never",5,"no",15,"Yes","Poor","in school",,,"Other",,"No","Not at all",,,"Not at all","not know","1. poor sign language 2. not good education in territory 3. not access to health care","No","No","myself","Very Unsatisfied","Never","Never","Never","Not at all","No",,,,,,,,,"Other","drugs","Satisfied","Never","No","Not at all","Not at all","Yes","Not at all","my family (using gesturing)","All of the time","gesturing"
120200314,"NSL","04/05/1985","NSL","mbula","Christianity","Female","No","Single",,"Private sector employee","teacher",9000,1,5,"Primary school (or can read and write)",,"No","Always","Always","Always","Very Good","Always","Yes",,,,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Never","Always","Very Good","Satisfied","Satisfied","Completely","Very satisfied","Not at all",,"Always","A small amount","Completely","Satisfied","Satisfied","Not at all","Very","Not at all","Not at all","Fairly dissatisfied","Very dissatisfied","Satisfied","Very satisfied","Very satisfied","my father","No","No","No","No","A few times","Never","Never",0,"n/a",8,"Yes","Good","school",,"Cochlear Implants",,,"No","Not at all",,,"Not at all","never","violence, discrimination, and adousing","No","No","association","Satisfied","Always","Always","Never","Not at all","No",,"Malaria",,,,,,,,"net","Fairly dissatisfied","Never","Yes","Not at all","Not at all","No","Not at all",,"All of the time","hand/sign language"
120200142,"English","04/14/1997","text sms","igbo","Christianity","Male","No","Married","Yes","Self-employed","tailor",20000,1,6,"Primary school (or can read and write)",84000,"No","Sometimes","Sometimes","Sometimes","Poor",,"No","I don't have the transportation to go shopping for healthy food",,,,,,,"Always","Sometimes","Neither poor nor good","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Not at all","Neither satisfied nor dissatisfied","Not at all","Not at all","Sometimes","Not at all","Not at all","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Not at all","Very","Not at all","Not at all","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","i communicated with neighborhood ever gun shooting in the late night against insecurity","No","No","No","No","Never","Once","Never",,,15,"I already know sign language","Good","school","Hearing Aids",,,7,"No","Not at all",,,"Not at all","churches","sugnii cat challenges the deaf people face to attend school and learn, some deaf can't","Yes","Yes",,"Satisfied","Sometimes","Sometimes","Sometimes","Not at all","Yes",,"Malaria",,,,,,,,"i protect myself against malaria","Neither satisfied nor dissatisfied","Infrequently","Yes","Not at all","Not at all","Yes","Not at all","newspaper","Not at all",
120187671,,,"facebook, whatsapp, telegram, etc","igloo, haghase, hongange","Christianity",,"No","Married","Yes","Private sector employee","supervisor",35000,1,6,"University (Bachelor degree)",250000,"No","Never","Always","Sometimes","Fair","Sometimes","Yes","I don't have the transportation to go shopping for healthy food",,,,,,,"Never","Never","Good","Fairly dissatisfied","Fairly dissatisfied","Not at all","Satisfied","A great deal","Not at all","Sometimes","A moderate amount","Slightly","Fairly dissatisfied","Fairly dissatisfied","Slightly","Moderately","Slightly","Moderately","Fairly dissatisfied","Fairly dissatisfied","Satisfied","Very satisfied",,,,,,,"Never","Never","Never",3,"interpreters",12,"No","Very good","kadnna state (school)",,,"Other",,"No","Not at all",,,"Not at all","church and school for deaf","employment, school and free education","No","No","myself","Very Unsatisfied","Infrequently","Infrequently","Sometimes","Not at all","No",,,,,,,,,"Other","drugs and bed nets","Fairly dissatisfied",,"No","Not at all","Not at all","No","Not at all","i read newspaper, internet, and tv","A little of the time","sign language"
